epoch,train_loss,train_od_loss,train_dc_loss,train_sc_loss,train_label_loss,train_box_loss,val_loss,val_od_loss,val_dc_loss,val_sc_loss,val_label_loss,val_box_loss,val_sc_cube_joint_acc,val_sc_cube_sten_acc,val_sc_cube_plaq_acc,val_sc_vessel_sten_acc,val_sten_per_class_acc,val_plaq_per_class_acc,val_od_acc
31,3.4135743661942803,1.650847917441397,1.3357097643824152,0.4270166883867965,1.153019045545696,0.49782887081968163,6.687589186942896,2.223899402675006,3.125031861070356,1.3386579221363237,1.659552994043254,0.5643464102677846,0.8496006686478454,0.8698458395245171,0.8691493313521546,0.649331352154532,"[0.9828908216983291, 0.4384393987847777, 0.1982851018220793]","[0.9828908216983291, 0.012552301255230125, 0.48966165413533835, 0.4989754098360656]",0.6820208023774146
32,3.336314284429316,1.5957553265139865,1.3156544284211533,0.42490453079681895,1.1057052674916152,0.49005006007471325,6.751399045881956,2.183325673069374,3.232112435275794,1.3359609361218416,1.6810173595694478,0.5023083175568446,0.8495078008915304,0.8712852897473997,0.8676634472511144,0.6686478454680534,"[0.9838063630121309, 0.4387591941157659, 0.2132904608788853]","[0.9838063630121309, 0.012552301255230125, 0.4407894736842105, 0.5563524590163934]",0.6315007429420505
33,3.315709664000627,1.5815125447747267,1.311728534898405,0.42246857947266414,1.0963755896611607,0.48513695474787705,6.632767358944041,2.161098470673717,3.133665431500896,1.3380034574769017,1.6690457429659473,0.49205273020603535,0.8473254086181278,0.8706352154531947,0.8671526745913819,0.662704309063893,"[0.9795719844357976, 0.4425967380876239, 0.2647374062165059]","[0.9795719844357976, 0.021966527196652718, 0.5225563909774437, 0.4334016393442623]",0.6835066864784547
34,3.3144723257378117,1.555179829561575,1.3421258322584133,0.41716666469478875,1.0549131043536173,0.5002667235268417,6.679220128837608,2.190822045244166,3.1446569786581158,1.3437411074114836,1.6647282732700381,0.5260937715098483,0.8467217682020802,0.8712852897473997,0.8665026002971769,0.6760772659732541,"[0.9787708857862211, 0.4467540773904701, 0.2808145766345123]","[0.9787708857862211, 0.013598326359832637, 0.5653195488721805, 0.3483606557377049]",0.6820208023774146
35,3.2928415450541597,1.538741446557307,1.3466244495057715,0.40747565263148516,1.038287035294166,0.5004544116025211,6.563684750735229,2.1594963710456643,3.074226943958407,1.3299614346699473,1.6741451339834876,0.4853512398036368,0.8496006686478454,0.8694279346210996,0.8684992570579495,0.6389301634472511,"[0.9856374456397345, 0.43428205948193155, 0.15112540192926044]","[0.9856374456397345, 0.009414225941422594, 0.4769736842105263, 0.4661885245901639]",0.6805349182763745
36,3.2540310200415274,1.4783088894439298,1.3679489838674261,0.40777314782263413,0.9973425073890546,0.4809663828467624,6.6177348934932,2.169429012858903,3.120503327259324,1.3278025523137622,1.667257787565803,0.5021712308644541,0.8482540861812778,0.8657596582466568,0.8658989598811293,0.6329866270430906,"[0.9884412909132525, 0.38119603453789574, 0.19185423365487675]","[0.9884412909132525, 0.006276150627615063, 0.4243421052631579, 0.4764344262295082]",0.6731054977711739
37,3.231411400688799,1.471008259532942,1.357434142149561,0.4029690060715387,0.9799576097723879,0.49105064818204125,6.778295906078214,2.1586013759986584,3.266254773833278,1.3534397477565958,1.6921902353756506,0.4664111409767445,0.8401745913818722,0.8655274888558693,0.8617663447251115,0.687964338781575,"[0.9624628061341268, 0.538215542053086, 0.14683815648445875]","[0.9624628061341268, 0.02092050209205021, 0.6015037593984962, 0.44979508196721313]",0.6210995542347697
38,3.2220012565030114,1.4489410221423362,1.377886123824077,0.39517411069126385,0.9593246157238268,0.4896164080285925,6.678133695698634,2.160419143272083,3.173495947076588,1.3442186233905373,1.6558467103748717,0.5045724325876915,0.8461181277860327,0.8686849925705795,0.8647381129271917,0.6686478454680534,"[0.9776836804760815, 0.45890629996802046, 0.20042872454448016]","[0.9776836804760815, 0.02510460251046025, 0.5145676691729323, 0.42827868852459017]",0.6820208023774146
39,3.1922949647125103,1.4137894919271798,1.387521397198499,0.3909840760330697,0.9291527642224661,0.48463672762052656,6.604057661503642,2.176340613591565,3.097704582469046,1.3300124785312912,1.6695670377606808,0.5067735725146019,0.8484862555720654,0.8697065378900446,0.8666883358098069,0.6552748885586924,"[0.9859235523002976, 0.42724656220019186, 0.1757770632368703]","[0.9859235523002976, 0.0, 0.4050751879699248, 0.5870901639344263]",0.6671619613670133
40,3.191347306691512,1.4085338647058303,1.4002208830551544,0.3825925564026253,0.9167539258184255,0.49177993762722544,6.599456003228705,2.156967444306665,3.110824150572191,1.3316643931391685,1.660394913718679,0.49657253209136715,0.8486255572065379,0.8692886329866271,0.8668276374442794,0.6582466567607727,"[0.9828908216983291, 0.41573393028461786, 0.2615219721329046]","[0.9828908216983291, 0.012552301255230125, 0.4868421052631579, 0.45389344262295084]",0.6716196136701337
